current_state,count,sex,age_group,education,marital_status,current_state_code,current_fips
Alabama,120307,All,All,All,All,AL,1
Alaska,35633,All,All,All,All,AK,2
Arizona,250726,All,All,All,All,AZ,4
Arkansas,75745,All,All,All,All,AR,5
California,425194,All,All,All,All,CA,6
Colorado,240109,All,All,All,All,CO,8
Connecticut,92871,All,All,All,All,CT,9
Delaware,38690,All,All,All,All,DE,10
District of Columbia,57811,All,All,All,All,DC,11
Florida,653264,All,All,All,All,FL,12
Georgia,313381,All,All,All,All,GA,13
Hawaii,61514,All,All,All,All,HI,15
Idaho,82968,All,All,All,All,ID,16
Illinois,206628,All,All,All,All,IL,17
Indiana,148665,All,All,All,All,IN,18
Iowa,75499,All,All,All,All,IA,19
Kansas,80765,All,All,All,All,KS,20
Kentucky,103529,All,All,All,All,KY,21
Louisiana,66474,All,All,All,All,LA,22
Maine,36164,All,All,All,All,ME,23
Maryland,160998,All,All,All,All,MD,24
Massachusetts,150957,All,All,All,All,MA,25
Michigan,132619,All,All,All,All,MI,26
Minnesota,97066,All,All,All,All,MN,27
Mississippi,61887,All,All,All,All,MS,28
Missouri,146135,All,All,All,All,MO,29
Montana,40281,All,All,All,All,MT,30
Nebraska,52406,All,All,All,All,NE,31
Nevada,125671,All,All,All,All,NV,32
New Hampshire,36745,All,All,All,All,NH,33
New Jersey,152994,All,All,All,All,NJ,34
New Mexico,69305,All,All,All,All,NM,35
New York,306368,All,All,All,All,NY,36
North Carolina,344419,All,All,All,All,NC,37
North Dakota,30843,All,All,All,All,ND,38
Ohio,183473,All,All,All,All,OH,39
Oklahoma,111217,All,All,All,All,OK,40
Oregon,126038,All,All,All,All,OR,41
Pennsylvania,239045,All,All,All,All,PA,42
Rhode Island,30898,All,All,All,All,RI,44
South Carolina,207937,All,All,All,All,SC,45
South Dakota,28408,All,All,All,All,SD,46
Tennessee,209478,All,All,All,All,TN,47
Texas,623458,All,All,All,All,TX,48
Utah,89897,All,All,All,All,UT,49
Vermont,23944,All,All,All,All,VT,50
Virginia,278297,All,All,All,All,VA,51
Washington,217471,All,All,All,All,WA,53
West Virginia,40429,All,All,All,All,WV,54
Wisconsin,114332,All,All,All,All,WI,55
Wyoming,23667,All,All,All,All,WY,56
Alabama,56839,Female,All,All,All,AL,1
Alabama,63468,Male,All,All,All,AL,1
Alaska,14585,Female,All,All,All,AK,2
Alaska,21048,Male,All,All,All,AK,2
Arizona,123700,Female,All,All,All,AZ,4
Arizona,127026,Male,All,All,All,AZ,4
Arkansas,36068,Female,All,All,All,AR,5
Arkansas,39677,Male,All,All,All,AR,5
California,209530,Female,All,All,All,CA,6
California,215664,Male,All,All,All,CA,6
Colorado,116228,Female,All,All,All,CO,8
Colorado,123881,Male,All,All,All,CO,8
Connecticut,48495,Female,All,All,All,CT,9
Connecticut,44376,Male,All,All,All,CT,9
Delaware,20345,Female,All,All,All,DE,10
Delaware,18345,Male,All,All,All,DE,10
District of Columbia,30084,Female,All,All,All,DC,11
District of Columbia,27727,Male,All,All,All,DC,11
Florida,323774,Female,All,All,All,FL,12
Florida,329490,Male,All,All,All,FL,12
Georgia,151211,Female,All,All,All,GA,13
Georgia,162170,Male,All,All,All,GA,13
Hawaii,28597,Female,All,All,All,HI,15
Hawaii,32917,Male,All,All,All,HI,15
Idaho,40341,Female,All,All,All,ID,16
Idaho,42627,Male,All,All,All,ID,16
Illinois,107924,Female,All,All,All,IL,17
