previous_state,count,sex,age_group,education,marital_status,previous_state_code,previous_fips
Alabama,101870,All,All,All,All,AL,1
Alaska,36206,All,All,All,All,AK,2
Arizona,193757,All,All,All,All,AZ,4
Arkansas,65211,All,All,All,All,AR,5
California,682598,All,All,All,All,CA,6
Colorado,209052,All,All,All,All,CO,8
Connecticut,92843,All,All,All,All,CT,9
Delaware,29537,All,All,All,All,DE,10
District of Columbia,66034,All,All,All,All,DC,11
Florida,503761,All,All,All,All,FL,12
Georgia,250109,All,All,All,All,GA,13
Hawaii,56629,All,All,All,All,HI,15
Idaho,63227,All,All,All,All,ID,16
Illinois,295850,All,All,All,All,IL,17
Indiana,116568,All,All,All,All,IN,18
Iowa,75420,All,All,All,All,IA,19
Kansas,91904,All,All,All,All,KS,20
Kentucky,97487,All,All,All,All,KY,21
Louisiana,99858,All,All,All,All,LA,22
Maine,28124,All,All,All,All,ME,23
Maryland,199510,All,All,All,All,MD,24
Massachusetts,184268,All,All,All,All,MA,25
Michigan,155396,All,All,All,All,MI,26
Minnesota,108407,All,All,All,All,MN,27
Mississippi,56530,All,All,All,All,MS,28
Missouri,145120,All,All,All,All,MO,29
Montana,39889,All,All,All,All,MT,30
Nebraska,50104,All,All,All,All,NE,31
Nevada,106678,All,All,All,All,NV,32
New Hampshire,50406,All,All,All,All,NH,33
New Jersey,219718,All,All,All,All,NJ,34
New Mexico,66208,All,All,All,All,NM,35
New York,489541,All,All,All,All,NY,36
North Carolina,233137,All,All,All,All,NC,37
North Dakota,22401,All,All,All,All,ND,38
Ohio,189744,All,All,All,All,OH,39
Oklahoma,85781,All,All,All,All,OK,40
Oregon,130887,All,All,All,All,OR,41
Pennsylvania,269665,All,All,All,All,PA,42
Puerto Rico,44975,All,All,All,All,PR,72
Rhode Island,33233,All,All,All,All,RI,44
South Carolina,135346,All,All,All,All,SC,45
South Dakota,27018,All,All,All,All,SD,46
Tennessee,181398,All,All,All,All,TN,47
Texas,478954,All,All,All,All,TX,48
Utah,97485,All,All,All,All,UT,49
Vermont,19287,All,All,All,All,VT,50
Virginia,258117,All,All,All,All,VA,51
Washington,223935,All,All,All,All,WA,53
West Virginia,42639,All,All,All,All,WV,54
Wisconsin,95878,All,All,All,All,WI,55
Wyoming,24920,All,All,All,All,WY,56
Alabama,49787,Female,All,All,All,AL,1
Alabama,52083,Male,All,All,All,AL,1
Alaska,16545,Female,All,All,All,AK,2
Alaska,19661,Male,All,All,All,AK,2
Arizona,95359,Female,All,All,All,AZ,4
Arizona,98398,Male,All,All,All,AZ,4
Arkansas,31659,Female,All,All,All,AR,5
Arkansas,33552,Male,All,All,All,AR,5
California,325285,Female,All,All,All,CA,6
California,357313,Male,All,All,All,CA,6
Colorado,107660,Female,All,All,All,CO,8
Colorado,101392,Male,All,All,All,CO,8
Connecticut,48878,Female,All,All,All,CT,9
Connecticut,43965,Male,All,All,All,CT,9
Delaware,14287,Female,All,All,All,DE,10
Delaware,15250,Male,All,All,All,DE,10
District of Columbia,32565,Female,All,All,All,DC,11
District of Columbia,33469,Male,All,All,All,DC,11
Florida,248318,Female,All,All,All,FL,12
Florida,255443,Male,All,All,All,FL,12
Georgia,125417,Female,All,All,All,GA,13
Georgia,124692,Male,All,All,All,GA,13
Hawaii,26148,Female,All,All,All,HI,15
Hawaii,30481,Male,All,All,All,HI,15
Idaho,30349,Female,All,All,All,ID,16
Idaho,32878,Male,All,All,All,ID,16
Illinois,147041,Female,All,All,All,IL,17
Illinois,148809,Male,All,All,All,IL,17
Indiana,58695,Female,All,All,All,IN,18
Indiana,57873,Male,All,All,All,IN,18
Iowa,35971,Female,All,All,All,IA,19
Iowa,39449,Male,All,All,All,IA,19
Kansas,46986,Female,All,All,All,KS,20
Kansas,44918,Male,All,All,All,KS,20
Kentucky,47010,Female,All,All,All,KY,21
Kentucky,50477,Male,All,All,All,KY,21
Louisiana,44247,Female,All,All,All,LA,22
Louisiana,55611,Male,All,All,All,LA,22
Maine,13937,Female,All,All,All,ME,23
Maine,14187,Male,All,All,All,ME,23
Maryland,101275,Female,All,All,All,MD,24
Maryland,98235,Male,All,All,All,MD,24
Massachusetts,97938,Female,All,All,All,MA,25
Massachusetts,86330,Male,All,All,All,MA,25
Michigan,78924,Female,All,All,All,MI,26
Michigan,76472,Male,All,All,All,MI,26
Minnesota,51676,Female,All,All,All,MN,27
Minnesota,56731,Male,All,All,All,MN,27
Mississippi,28130,Female,All,All,All,MS,28
Mississippi,28400,Male,All,All,All,MS,28
Missouri,72210,Female,All,All,All,MO,29
Missouri,72910,Male,All,All,All,MO,29
Montana,18480,Female,All,All,All,MT,30
